FID;ADM3_NAME;ADM3_CODE;ADM2_NAME;ADM2_CODE;lat;lon
0;Tountourou;GIN00600213;Labe;GIN006002;11.4160003662109;-12.2864999771118
1;Vasseredou;GIN00800414;Macenta;GIN008004;8.70112037658691;-9.20989990234375
2;Watanka;GIN00800415;Macenta;GIN008004;8.77976989746093;-9.81544017791748
3;Wendou Mbour;GIN00100308;Gaoual;GIN001003;11.5079002380371;-13.8058004379272
4;Womey;GIN00800510;N'zerekore;GIN008005;8.11946964263916;-8.66429042816162
5;Wonkifong;GIN00500104;Coyah;GIN005001;9.67224025726318;-13.3088998794555
6;Yalenzou;GIN00800511;N'zerekore;GIN008005;7.76349020004272;-8.67290019989013
7;Yende Millimou;GIN00300412;Kissidougou;GIN003004;8.97931003570556;-10.1800003051757
8;Yimbering;GIN00600413;Mali;GIN006004;11.7730998992919;-12.3590002059936
9;Yombiro;GIN00300413;Kissidougou;GIN003004;9.09685039520263;-10.3697996139526
10;Tanene;GIN00500208;Dubreka;GIN005002;10.1284999847412;-13.7482995986938
11;Tanene;GIN00100210;Boke;GIN001002;11.0665998458862;-14.1792001724243
12;Telimele-Centre;GIN00500513;Telimele;GIN005005;10.8737001419067;-13.077199935913
13;Bourouwal;GIN00500501;Telimele;GIN005005;11.059100151062;-12.9059000015258
14;Daramagnaky;GIN00500502;Telimele;GIN005005;10.8420000076293;-13.7846002578735
15;Gougoudje;GIN00500503;Telimele;GIN005005;10.7910995483398;-13.0194997787475
16;Koba;GIN00500504;Telimele;GIN005005;11.2260999679565;-13.3915996551513
17;Kollet;GIN00500505;Telimele;GIN005005;10.5128002166748;-13.1262998580932
18;Konsotami;GIN00500506;Telimele;GIN005005;10.8818998336791;-13.5207996368408
19;Matakaou;GIN00600104;Koubia;GIN006001;11.7707004547119;-11.9680995941162
20;Missira;GIN00500507;Telimele;GIN005005;11.1614999771118;-13.6247997283935
21;Santou;GIN00500508;Telimele;GIN005005;11.0928001403808;-13.095700263977
22;Sinta;GIN00500510;Telimele;GIN005005;10.6808004379272;-13.0479001998901
23;Sogolon;GIN00500511;Telimele;GIN005005;10.5911998748779;-13.2600002288818
24;Thionthian;GIN00500514;Telimele;GIN005005;10.7853002548217;-13.2941999435424
25;Kakossa;GIN00500306;Forecariah;GIN005003;9.47272968292236;-13.4547996520996
26;Bintimodia;GIN00100201;Boke;GIN001002;10.6147003173828;-14.3619003295898
27;Banama;GIN00300402;Kissidougou;GIN003004;9.10142040252685;-9.75796031951904
28;Coyah-Centre;GIN00500101;Coyah;GIN005001;9.70827960968017;-13.3902997970581
29;Banankoro;GIN00400201;Kerouane;GIN004002;9.17605972290039;-9.17002964019775
30;Alassoya;GIN00500301;Forecariah;GIN005003;9.50049972534179;-13.0995998382568
31;Arfamoussayah;GIN00300101;Dabola;GIN003001;10.8283004760742;-11.2767000198364
32;Babila;GIN00400301;Kouroussa;GIN004003;10.6236000061035;-9.76663017272949
33;Badi;GIN00500201;Dubreka;GIN005002;10.2783002853393;-13.4763002395629
34;Yomou-Centre;GIN00800607;Yomou;GIN008006;7.58509016036987;-9.29333019256591
35;Baguinet;GIN00100501;Fria;GIN001005;10.5542001724243;-13.4917001724243
36;Banfele;GIN00400303;Kouroussa;GIN004003;10.1656999588012;-10.0186004638671
37;Balaya;GIN00600301;Lelouma;GIN006003;11.4274997711181;-12.7778997421264
38;Balizia;GIN00800401;Macenta;GIN008004;8.61559009552001;-9.59374046325683
39;Binikala;GIN00800402;Macenta;GIN008004;8.7916202545166;-9.51867961883544
40;Albadariah;GIN00300401;Kissidougou;GIN003004;9.51603984832763;-10.0450000762939
41;Balaki;GIN00600401;Mali;GIN006004;12.2461004257202;-11.7910003662109
42;Balandougou;GIN00400101;Kankan;GIN004001;10.5199003219604;-9.07394981384277
43;Balandougouba;GIN00400401;Mandiana;GIN004004;11.3290996551513;-8.54870986938476
44;Balato;GIN00400302;Kouroussa;GIN004003;10.7312002182006;-9.54395961761474
45;Bangouya;GIN00500401;Kindia;GIN005004;10.3948001861572;-12.9153995513916
46;Banguigny;GIN00100502;Fria;GIN001005;10.6756000518798;-13.5385999679565
47;Banie;GIN00800601;Yomou;GIN008006;7.47800016403198;-9.38109016418457
48;Banko;GIN00300102;Dabola;GIN003001;10.6572999954223;-10.6422996520996
49;Bankon;GIN00400501;Siguiri;GIN004005;11.5363998413085;-8.88619041442871
50;Bate-Nafadji;GIN00400102;Kankan;GIN004001;10.7986001968383;-9.23978042602539
51;Youkounkoun;GIN00100407;Koundara;GIN001004;12.4666004180908;-13.1360998153686
52;Banora;GIN00300201;Dinguiraye;GIN003002;11.7718000411987;-10.3394002914428
53;Bantignel;GIN00700301;Pita;GIN007003;11.1093997955322;-12.293999671936
54;Boke-Centre;GIN00100202;Boke;GIN001002;10.9118003845214;-14.2728004455566
55;Bardou;GIN00300403;Kissidougou;GIN003004;9.0186595916748;-9.83187007904052
56;Baro;GIN00400304;Kouroussa;GIN004003;10.4792003631591;-9.70438003540039
57;Beindou;GIN00300404;Kissidougou;GIN003004;9.07363033294677;-10.0099000930786
58;Beindou;GIN00300302;Faranah;GIN003003;10.2975997924804;-10.3786001205444
59;Benty;GIN00500302;Forecariah;GIN005003;9.1003999710083;-13.1560001373291
60;Beyla-Centre;GIN00800101;Beyla;GIN008001;8.68817996978759;-8.67181015014648
61;Bheeta;GIN00800602;Yomou;GIN008006;7.44131994247436;-9.2108097076416
62;Bignamou;GIN00800603;Yomou;GIN008006;7.34125995635986;-9.11102962493896
63;Bissikrima;GIN00300103;Dabola;GIN003001;10.9588003158569;-10.8751001358032
64;Bodie;GIN00700101;Dalaba;GIN007001;11.0430002212524;-12.0691003799438
65;Boffa-Centre;GIN00100101;Boffa;GIN001001;10.2122001647949;-14.1148996353149
66;Bofossou;GIN00800403;Macenta;GIN008004;8.68013954162597;-9.73606967926025
67;Bolodou;GIN00800201;Gueckedou;GIN008002;8.81931972503662;-10.3268003463745
68;Boola;GIN00800102;Beyla;GIN008001;8.47879981994628;-8.69954967498779
69;Bossou;GIN00800301;Lola;GIN008003;7.64642000198364;-8.48915004730224
70;Boula;GIN00400103;Kankan;GIN004001;9.8137502670288;-8.41989040374755
71;Damakania;GIN00500402;Kindia;GIN005004;10.0176000595092;-12.9507999420166
72;Bouliwel;GIN00700201;Mamou;GIN007002;10.5774002075195;-12.2138004302978
73;Garambe;GIN00600205;Labe;GIN006002;11.2870998382568;-12.3591995239257
74;Bounouma;GIN00800501;N'zerekore;GIN008005;7.59835004806518;-8.81007003784179
75;Bowe;GIN00800604;Yomou;GIN008006;7.77859020233154;-9.1934700012207
76;Brouwal Tape;GIN00700302;Pita;GIN007003;10.9934997558593;-12.4078998565673
77;Damaro;GIN00400202;Kerouane;GIN004002;9.11198997497558;-8.80158042907714
78;Daralabe;GIN00600202;Labe;GIN006002;11.2294998168945;-12.3189001083374
79;Dogomet;GIN00300105;Dabola;GIN003001;10.7784996032714;-11.4096002578735
80;Cissela;GIN00400305;Kouroussa;GIN004003;10.9048995971679;-10.6596002578735
81;Dabiss;GIN00100203;Boke;GIN001002;11.3403997421264;-14.3344001770019
82;Dabola-Centre;GIN00300104;Dabola;GIN003001;10.789400100708;-11.0733003616333
83;Dalaba-Centre;GIN00700102;Dalaba;GIN007001;10.7135000228881;-12.2672004699707
84;Dalein;GIN00600201;Labe;GIN006002;11.5502996444702;-12.2961997985839
85;Daro;GIN00800404;Macenta;GIN008004;8.49269008636474;-9.6028299331665
86;Dialakoro;GIN00300202;Dinguiraye;GIN003002;11.0183000564575;-11.0803003311157
87;Dialokoro;GIN00400402;Mandiana;GIN004004;11.3613004684448;-8.84379959106445
88;Diaraguerela;GIN00800103;Beyla;GIN008001;8.57273960113525;-8.41524982452392
89;Diari;GIN00600203;Labe;GIN006002;11.3662004470825;-12.5094995498657
90;Diassodou;GIN00800104;Beyla;GIN008001;9.15235042572021;-8.34333992004394
91;Diatifere;GIN00300203;Dinguiraye;GIN003002;11.7778997421264;-10.6893997192382
92;Diecke;GIN00800605;Yomou;GIN008006;7.38570976257324;-8.93513011932373
93;Dinguiraye-Centre;GIN00300204;Dinguiraye;GIN003002;11.362000465393;-10.6455001831054
94;Dionfo;GIN00600204;Labe;GIN006002;11.3379001617431;-12.0635004043579
95;Diontou;GIN00600302;Lelouma;GIN006003;11.5078001022338;-12.5253000259399
96;Ditinn;GIN00700103;Dalaba;GIN007001;10.8867998123168;-12.1169996261596
97;Doko;GIN00400502;Siguiri;GIN004005;11.7491998672485;-8.98760986328125
98;Donghol Sigon;GIN00600402;Mali;GIN006004;11.7791004180908;-12.182499885559
99;Donghol Touma;GIN00700303;Pita;GIN007003;10.9919004440307;-12.7105998992919
100;Douako;GIN00400306;Kouroussa;GIN004003;9.81991004943847;-10.0802001953125
101;Dougountouny;GIN00600403;Mali;GIN006004;11.8543996810913;-12.5594997406005
102;Dounet;GIN00700202;Mamou;GIN007002;10.5263004302978;-11.9518003463745
103;Douprou;GIN00100102;Boffa;GIN001001;10.2571001052856;-14.3212995529174
104;Doura;GIN00400307;Kouroussa;GIN004003;10.8649997711181;-9.65859985351562
105;Dubreka-Centre;GIN00500202;Dubreka;GIN005002;9.78761959075927;-13.4743995666503
106;Fafaya;GIN00600101;Koubia;GIN006001;11.7898998260498;-11.7367000579833
107;Falessade;GIN00500203;Dubreka;GIN005002;10.1183004379272;-13.2913999557495
108;Gberedou Baranama;GIN00400104;Kankan;GIN004001;10.4191999435424;-9.54296016693115
109;Fangamadou;GIN00800202;Gueckedou;GIN008002;8.45827007293701;-10.589599609375
110;Faralako;GIN00400403;Mandiana;GIN004004;10.669599533081;-8.48843955993652
111;Faranah-Centre;GIN00300303;Faranah;GIN003003;10.0658998489379;-10.7208003997802
112;Farmoriah;GIN00500303;Forecariah;GIN005003;9.25782012939453;-13.0199003219604
113;Fassankoni;GIN00800405;Macenta;GIN008004;8.05543041229248;-9.30395030975341
114;Fatako;GIN00600501;Tougue;GIN006005;11.2321996688842;-11.8747997283935
115;Gayah;GIN00600405;Mali;GIN006004;11.9643001556396;-12.4349002838134
116;Fello Koundoua;GIN00600502;Tougue;GIN006005;11.8537998199462;-11.2818002700805
117;Fermessadou-Pombo;GIN00300405;Kissidougou;GIN003004;9.13451957702636;-10.2040996551513
118;Firawa;GIN00300406;Kissidougou;GIN003004;9.23408031463623;-9.85309982299804
119;Forecariah-Centre;GIN00500304;Forecariah;GIN005003;9.42574977874755;-13.0908002853393
120;Fouala;GIN00800105;Beyla;GIN008001;8.98381996154785;-8.3259801864624
121;Fougou;GIN00600404;Mali;GIN006004;11.9186000823974;-12.342900276184
122;Gbakedou;GIN00800106;Beyla;GIN008001;8.72961044311523;-8.34370994567871
123;Gbangbadou;GIN00300407;Kissidougou;GIN003004;9.29703044891357;-10.0001001358032
124;Foulamory;GIN00100301;Gaoual;GIN001003;12.1066999435424;-13.6499996185302
125;Foumbadou;GIN00800302;Lola;GIN008003;8.29331016540527;-8.38037967681884
126;Franwalia;GIN00400503;Siguiri;GIN004005;11.7910995483398;-9.4422903060913
127;Fria-Centre;GIN00100503;Fria;GIN001005;10.4725999832153;-13.6969003677368
128;Friguiagbe;GIN00500403;Kindia;GIN005004;9.85151004791259;-12.9547996520996
129;Gadha Woundou;GIN00600102;Koubia;GIN006001;11.9928998947143;-11.5347003936767
130;Gagnakaly;GIN00300205;Dinguiraye;GIN003002;11.8199996948242;-10.9863996505737
131;Gama Berema;GIN00800303;Lola;GIN008003;7.8682198524475;-8.29837989807128
132;Gaoual-Centre;GIN00100302;Gaoual;GIN001003;11.7446002960205;-13.2056999206542
133;Gbessoba;GIN00800107;Beyla;GIN008001;8.64076995849609;-7.94886016845703
134;Gnaleah;GIN00300304;Faranah;GIN003003;9.9470796585083;-10.5183000564575
135;Gongoret;GIN00700304;Pita;GIN007003;10.7360000610351;-12.4940004348754
136;Gongoret;GIN00700203;Mamou;GIN007002;10.7756004333496;-11.9370002746582
137;Gouecke;GIN00800502;N'zerekore;GIN008005;7.99756002426147;-8.77705001831054
138;Heremakono;GIN00300305;Faranah;GIN003003;9.93813037872314;-10.9406995773315
139;Gueassou;GIN00800304;Lola;GIN008003;8.0850601196289;-8.18187999725341
140;Gueckedou-Centre;GIN00800203;Gueckedou;GIN008002;8.57514953613281;-10.1162996292114
141;Guendembou;GIN00800204;Gueckedou;GIN008002;8.77729988098144;-10.0502996444702
142;Guinguan;GIN00100401;Koundara;GIN001004;12.2538003921508;-12.9896001815795
143;Hafia;GIN00600206;Labe;GIN006002;11.2197999954223;-12.4375
144;Herico;GIN00600303;Lelouma;GIN006003;11.1985998153686;-12.8743000030517
145;Hidayatou;GIN00600406;Mali;GIN006004;11.9892997741699;-12.1316995620727
146;Kaala;GIN00700104;Dalaba;GIN007001;10.8140001296997;-12.1773996353149
147;Kaalan;GIN00600207;Labe;GIN006002;11.3324003219604;-12.1613998413085
148;Kaback;GIN00500305;Forecariah;GIN005003;9.33561992645263;-13.3782997131347
149;Kakony;GIN00100303;Gaoual;GIN001003;11.3873996734619;-13.1368999481201
150;Kankama;GIN00300106;Dabola;GIN003001;10.871600151062;-11.1168003082275
151;Kankan-Centre;GIN00400105;Kankan;GIN004001;10.3668003082275;-9.26836013793945
152;Kallia;GIN00500307;Forecariah;GIN005003;9.38951015472412;-13.0160999298095
153;Kalinko;GIN00300206;Dinguiraye;GIN003002;11.2526998519897;-11.1830997467041
154;Kamabi;GIN00100402;Koundara;GIN001004;12.266900062561;-13.283200263977
155;Kamsar;GIN00100204;Boke;GIN001002;10.6316003799438;-14.5403995513916
156;Kankalabe;GIN00700105;Dalaba;GIN007001;11.1388998031616;-12.0134000778198
157;Kansangui;GIN00600503;Tougue;GIN006005;11.1786003112792;-11.5705995559692
158;Kantoumanina;GIN00400404;Mandiana;GIN004004;10.3859996795654;-8.73435020446777
159;Karala;GIN00800108;Beyla;GIN008001;9.40806007385253;-8.35593032836914
160;Kanfamoriyah;GIN00400106;Kankan;GIN004001;10.5499000549316;-9.38134002685546
161;Kassadou;GIN00800205;Gueckedou;GIN008002;8.91434001922607;-10.5181999206542
162;Kebali;GIN00700106;Dalaba;GIN007001;10.9947004318237;-12.237000465393
163;Kegneko;GIN00700204;Mamou;GIN007002;10.4335002899169;-11.6745996475219
164;Kerouane-Centre;GIN00400203;Kerouane;GIN004002;9.36583042144775;-9.03777980804443
165;Kindia-Centre;GIN00500404;Kindia;GIN005004;9.99116039276123;-12.7691001892089
166;Kokota;GIN00800305;Lola;GIN008003;7.90183019638061;-8.47224044799804
167;Kindoye;GIN00300107;Dabola;GIN003001;10.5279998779296;-11.3332004547119
168;Kiniebakoura;GIN00400504;Siguiri;GIN004005;11.2586002349853;-9.20868968963623
